
Start of firmware...
Initializing...
{'x_axis': 0.00927734, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0117188, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0122070, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00830078, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00439453, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00292969, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00878906, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0107422, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00439453, 'y_axis': 0.998535, 'button': false}
{'x_axis': -0.00292969, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00341797, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00781250, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00585938, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00976562, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00195312, 'y_axis': 0.995117, 'button': false}
{'x_axis': 0.0107422, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00244141, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0122070, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00634766, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00195312, 'y_axis': 0.991211, 'button': false}
{'x_axis': 0.00927734, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00976562, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00244141, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0107422, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00097656, 'y_axis': 0.998047, 'button': false}
{'x_axis': 0.000488281, 'y_axis': 0.991211, 'button': false}
{'x_axis': -0.00146484, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00244141, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.000488281, 'y_axis': 0.993164, 'button': false}
{'x_axis': 0.00292969, 'y_axis': 0.999023, 'button': false}
{'x_axis': 0.0102539, 'y_axis': 0.999512, 'button': false}
{'x_axis': -0.00390625, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.00732422, 'y_axis': 0.999512, 'button': false}
{'x_axis': 0.0136719, 'y_axis': 0.999512, 'button': false}
